unique_id,ds,cutoff,NBEATS,NHITS,y
hotel_105,2023-04-17,2023-04-07,0.76148164,0.77027845,0.7861635220125787
hotel_105,2023-04-18,2023-04-07,0.8075154,0.83976233,0.9371069182389937
hotel_105,2023-04-19,2023-04-07,0.8334315,0.85225534,0.9056603773584906
hotel_105,2023-04-20,2023-04-07,0.82000613,0.87684035,0.779874213836478
hotel_105,2023-04-21,2023-04-07,0.9067503,0.9408994,0.9371069182389937
hotel_105,2023-04-22,2023-04-07,0.94351745,0.86577904,0.8553459119496856
hotel_105,2023-04-23,2023-04-07,0.73816854,0.739017,0.6477987421383647
hotel_105,2023-04-24,2023-04-07,0.73053944,0.757826,0.8930817610062893
hotel_105,2023-04-25,2023-04-07,0.81426513,0.82230556,1.0
hotel_105,2023-04-26,2023-04-07,0.8314595,0.8541144,1.0062893081761006
hotel_105,2023-04-27,2023-04-07,0.8473699,0.8726908,0.7484276729559748
hotel_105,2023-04-28,2023-04-07,0.91822433,0.9399513,0.8616352201257862
hotel_105,2023-04-29,2023-04-07,0.9345595,0.887396,1.0
hotel_105,2023-04-30,2023-04-07,0.7366868,0.7539201,0.5283018867924528
hotel_105,2023-05-01,2023-04-07,0.75955224,0.77166235,0.6666666666666666
hotel_105,2023-05-02,2023-04-07,0.8269238,0.8242133,0.8238993710691824
hotel_105,2023-05-03,2023-04-07,0.8563051,0.85286546,0.7358490566037735
hotel_105,2023-05-04,2023-04-07,0.8606932,0.8827544,0.8238993710691824
hotel_105,2023-05-05,2023-04-07,0.91483456,0.9491545,0.89937106918239
hotel_105,2023-05-06,2023-05-05,0.9306824,0.8726942,0.9056603773584906
hotel_105,2023-05-07,2023-05-05,0.67935187,0.74942267,0.7672955974842768
hotel_105,2023-05-08,2023-05-05,0.78212076,0.78670764,1.0125786163522013
hotel_105,2023-05-09,2023-05-05,0.9092663,0.8600427,0.9937106918238994
hotel_105,2023-05-10,2023-05-05,0.8512721,0.8798013,1.0
hotel_105,2023-05-11,2023-05-05,0.80835146,0.881474,0.7924528301886793
hotel_105,2023-05-12,2023-05-05,0.8824109,0.89680904,1.0062893081761006
hotel_105,2023-05-13,2023-05-05,0.9351523,0.8462978,0.9685534591194969
hotel_105,2023-05-14,2023-05-05,0.6870017,0.74827564,0.6415094339622641
hotel_105,2023-05-15,2023-05-05,0.7551665,0.7856113,0.9622641509433962
hotel_105,2023-05-16,2023-05-05,0.86961937,0.8660823,1.0314465408805031
hotel_105,2023-05-17,2023-05-05,0.8795476,0.8776464,1.0
hotel_105,2023-05-18,2023-05-05,0.7870889,0.870484,0.8867924528301887
hotel_105,2023-05-19,2023-05-05,0.87805706,0.90841097,0.949685534591195
hotel_105,2023-05-20,2023-05-05,0.9109185,0.8254357,0.9937106918238994
hotel_105,2023-05-21,2023-05-05,0.6747584,0.73459804,0.8553459119496856
hotel_105,2023-05-22,2023-05-05,0.7376804,0.76925373,0.9622641509433962
hotel_105,2023-05-23,2023-05-05,0.84941745,0.83994263,0.9559748427672956
hotel_105,2023-05-24,2023-05-05,0.8712162,0.87268156,1.0
hotel_105,2023-05-25,2023-05-05,0.81659174,0.8673017,0.9433962264150944
hotel_105,2023-05-26,2023-05-05,0.88458186,0.8993788,1.0062893081761006
hotel_105,2023-05-27,2023-05-05,0.9183345,0.8454334,1.0
hotel_105,2023-05-28,2023-05-05,0.68396044,0.7442641,0.9056603773584906
hotel_105,2023-05-29,2023-05-05,0.7765391,0.7862199,0.9182389937106918
hotel_105,2023-05-30,2023-05-05,0.88281494,0.84526765,0.9748427672955975
hotel_105,2023-05-31,2023-05-05,0.8913096,0.86421525,1.0125786163522013
hotel_105,2023-06-01,2023-05-05,0.809929,0.87557197,0.8930817610062893
hotel_105,2023-06-02,2023-05-05,0.8906028,0.9076825,0.949685534591195
hotel_112,2023-01-14,2023-01-13,0.61286247,0.62851757,0.525
hotel_112,2023-01-15,2023-01-13,0.63007474,0.6696618,0.575
hotel_112,2023-01-16,2023-01-13,0.7035769,0.7001839,0.93125
hotel_112,2023-01-17,2023-01-13,0.7546718,0.7556826,0.89375
hotel_112,2023-01-18,2023-01-13,0.8368323,0.8584343,0.98125
hotel_112,2023-01-19,2023-01-13,0.76760435,0.8027934,0.9125
hotel_112,2023-01-20,2023-01-13,0.66332006,0.66956335,0.83125
hotel_112,2023-01-21,2023-01-13,0.6511458,0.6831048,0.81875
hotel_112,2023-01-22,2023-01-13,0.67006665,0.7037979,0.95625
hotel_112,2023-01-23,2023-01-13,0.6963699,0.7200386,0.71875
hotel_112,2023-01-24,2023-01-13,0.7506544,0.77140284,0.95
hotel_112,2023-01-25,2023-01-13,0.82222503,0.86417544,0.975
hotel_112,2023-01-26,2023-01-13,0.74656194,0.80813015,0.96875
hotel_112,2023-01-27,2023-01-13,0.6507932,0.67114985,0.9125
hotel_112,2023-01-28,2023-01-13,0.661627,0.7021074,0.8
hotel_112,2023-01-29,2023-01-13,0.669448,0.7252918,0.8125
hotel_112,2023-01-30,2023-01-13,0.73360974,0.7379403,0.83125
hotel_112,2023-01-31,2023-01-13,0.7665374,0.79357535,0.8
hotel_112,2023-02-01,2023-01-13,0.8546426,0.8531333,0.8125
hotel_112,2023-02-02,2023-01-13,0.7586934,0.81320417,0.93125
hotel_112,2023-02-03,2023-01-13,0.6677567,0.682513,0.83125
hotel_112,2023-02-04,2023-01-13,0.6815806,0.684908,0.91875
hotel_112,2023-02-05,2023-01-13,0.6937161,0.7163519,0.7875
hotel_112,2023-02-06,2023-01-13,0.713049,0.7278586,0.8875
hotel_112,2023-02-07,2023-01-13,0.79520726,0.78338605,0.9875
hotel_112,2023-02-08,2023-01-13,0.85086155,0.8638185,0.89375
hotel_112,2023-02-09,2023-01-13,0.7819206,0.8112248,1.0
hotel_112,2023-02-10,2023-01-13,0.69570667,0.68593234,0.9625
hotel_112,2023-02-11,2023-02-10,0.9222424,0.92621577,0.75
hotel_112,2023-02-12,2023-02-10,0.9318785,0.89933836,0.93125
hotel_112,2023-02-13,2023-02-10,0.9452474,0.94689834,0.84375
hotel_112,2023-02-14,2023-02-10,0.9635942,0.9807969,0.8875
hotel_112,2023-02-15,2023-02-10,0.9383184,0.97669023,0.84375
hotel_112,2023-02-16,2023-02-10,0.93238485,0.9359895,0.96875
hotel_112,2023-02-17,2023-02-10,0.90433836,0.9076413,0.99375
hotel_112,2023-02-18,2023-02-10,0.8680007,0.8707371,0.80625
hotel_112,2023-02-19,2023-02-10,0.89735115,0.8703241,0.61875
hotel_112,2023-02-20,2023-02-10,0.92168736,0.91642094,0.84375
hotel_112,2023-02-21,2023-02-10,0.9450755,0.9585235,0.76875
hotel_112,2023-02-22,2023-02-10,0.91215456,0.95984423,0.65625
hotel_112,2023-02-23,2023-02-10,0.9071312,0.93006015,0.6625
hotel_112,2023-02-24,2023-02-10,0.8773668,0.9034427,0.86875
hotel_112,2023-02-25,2023-02-10,0.8475401,0.85899764,0.93125
hotel_112,2023-02-26,2023-02-10,0.8952795,0.86457336,0.84375
hotel_112,2023-02-27,2023-02-10,0.9122002,0.91345227,0.875
hotel_112,2023-02-28,2023-02-10,0.9452935,0.95960945,0.9375
hotel_112,2023-03-01,2023-02-10,0.9380155,0.95642686,0.8875
hotel_112,2023-03-02,2023-02-10,0.91347903,0.92989045,0.7625
hotel_112,2023-03-03,2023-02-10,0.88176984,0.89804155,0.81875
hotel_112,2023-03-04,2023-02-10,0.8705439,0.8640048,0.88125
hotel_112,2023-03-05,2023-02-10,0.879849,0.8654482,0.90625
hotel_112,2023-03-06,2023-02-10,0.9121024,0.9140621,0.8875
