unique_id,cutoff,metric,LGBMRegressor
hotel_35,2023-03-10,mape,0.16845407680171107
hotel_42,2023-03-10,mape,0.48254884094869477
hotel_49,2023-03-10,mape,0.06712832841880136
hotel_56,2023-03-10,mape,0.03093846299280622
hotel_63,2023-03-10,mape,0.11478770050398877
hotel_7,2023-03-10,mape,0.9107135774723412
hotel_70,2023-03-10,mape,0.16171105811760067
hotel_77,2023-03-10,mape,
hotel_84,2023-03-10,mape,0.17813678936709731
hotel_91,2023-03-10,mape,0.22539706973993015
hotel_98,2023-03-10,mape,0.8751731544396567
hotel_0,2023-04-07,mape,0.5198710066788047
hotel_105,2023-04-07,mape,0.08999499867460317
hotel_112,2023-04-07,mape,0.11507123614232931
hotel_126,2023-04-07,mape,0.027723043021111404
hotel_133,2023-04-07,mape,0.11543558673626889
hotel_14,2023-04-07,mape,0.07395033245578331
hotel_21,2023-04-07,mape,0.047767890947798305
hotel_28,2023-04-07,mape,
hotel_35,2023-04-07,mape,0.151309176570954
hotel_42,2023-04-07,mape,0.3748992059574082
hotel_49,2023-04-07,mape,0.13804168956587762
hotel_56,2023-04-07,mape,0.04454400577712013
hotel_63,2023-04-07,mape,0.24422311525928414
hotel_7,2023-04-07,mape,0.37874179579786726
hotel_70,2023-04-07,mape,0.28815135536302944
hotel_77,2023-04-07,mape,
hotel_84,2023-04-07,mape,0.17200760049832584
hotel_91,2023-04-07,mape,0.29589459553094555
hotel_98,2023-04-07,mape,0.9005387980021646
hotel_0,2023-05-05,mape,0.33035943863061357
hotel_105,2023-05-05,mape,0.17963857047899537
hotel_112,2023-05-05,mape,0.14770370046681572
hotel_126,2023-05-05,mape,0.05264619674746366
hotel_133,2023-05-05,mape,0.06880648654873339
hotel_14,2023-05-05,mape,0.2646112351272097
hotel_21,2023-05-05,mape,0.057399257830302294
hotel_28,2023-05-05,mape,
hotel_35,2023-05-05,mape,0.1785681192545357
hotel_42,2023-05-05,mape,0.5033217061347328
hotel_49,2023-05-05,mape,0.2143611526522528
hotel_56,2023-05-05,mape,0.12164237413387495
hotel_63,2023-05-05,mape,0.18346298376786777
hotel_7,2023-05-05,mape,0.19950125224027504
hotel_70,2023-05-05,mape,0.1670040135635937
hotel_77,2023-05-05,mape,
hotel_84,2023-05-05,mape,0.13127847142681306
hotel_91,2023-05-05,mape,0.20055247009979313
hotel_98,2023-05-05,mape,1.4299372954296956
