unique_id,ds,cutoff,y,LGBMRegressor
hotel_28,2023-03-18,2023-03-10,0.016666666666666666,0.004430697288001474
hotel_28,2023-03-19,2023-03-10,0.008333333333333333,0.0028551007993480276
hotel_28,2023-03-20,2023-03-10,0.0,0.0035063903134355968
hotel_28,2023-03-21,2023-03-10,0.0,0.0025573642148007756
hotel_28,2023-03-22,2023-03-10,0.0,0.002900920208605121
hotel_28,2023-03-23,2023-03-10,0.0,0.0027921400667311976
hotel_28,2023-03-24,2023-03-10,0.0,0.009255682995038216
hotel_28,2023-03-25,2023-03-10,0.0,0.004430697288001474
hotel_28,2023-03-26,2023-03-10,0.0,0.0028551007993480276
hotel_28,2023-03-27,2023-03-10,0.0,0.0035063903134355968
hotel_28,2023-03-28,2023-03-10,0.0,0.0025573642148007756
hotel_28,2023-03-29,2023-03-10,0.0,0.002900920208605121
hotel_28,2023-03-30,2023-03-10,0.0,0.0027921400667311976
hotel_28,2023-03-31,2023-03-10,0.0,0.009255682995038216
hotel_28,2023-04-01,2023-03-10,0.0,0.004430697288001474
hotel_28,2023-04-02,2023-03-10,0.0,0.0028551007993480276
hotel_28,2023-04-03,2023-03-10,0.0,0.0035063903134355968
hotel_28,2023-04-04,2023-03-10,0.0,0.0025573642148007756
hotel_28,2023-04-05,2023-03-10,0.0,0.002900920208605121
hotel_28,2023-04-06,2023-03-10,0.0,0.0027921400667311976
hotel_28,2023-04-07,2023-03-10,0.0,0.009255682995038216
hotel_35,2023-03-11,2023-03-10,0.55859375,0.684378372881277
hotel_35,2023-03-12,2023-03-10,0.5,0.5872250109559207
hotel_35,2023-03-13,2023-03-10,0.53125,0.6376855435931061
hotel_35,2023-03-14,2023-03-10,0.71484375,0.6915120166115133
hotel_35,2023-03-15,2023-03-10,0.76171875,0.7401721846063128
hotel_35,2023-03-16,2023-03-10,0.74609375,0.7748192913144368
hotel_35,2023-03-17,2023-03-10,0.662109375,0.8039480789520552
hotel_35,2023-03-18,2023-03-10,0.716796875,0.8295964768242785
hotel_35,2023-03-19,2023-03-10,0.708984375,0.6550388781199431
hotel_35,2023-03-20,2023-03-10,0.87890625,0.7435407603884051
hotel_35,2023-03-21,2023-03-10,0.9375,0.7935677045512948
hotel_35,2023-03-22,2023-03-10,0.88671875,0.8060703208998924
hotel_35,2023-03-23,2023-03-10,0.767578125,0.8229394257689606
